Type of crop,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barley,26.8,29.7,22.5,29.2,31.2,30,24.2,31.4,23.7,23,24.5,21.3,24.8,21.4,27.6,27.7,26.1,24.7,27.4,27.7,27.9,17.3,24.3,17.8,21.5,17.3,17.6,21.6,16.2,19.2,23,23.7,24,20.8,37.2,25.6,26.7,21.4,23.7,18.9,23.8,19.9,25.7,31.3,34.4,29.4,22.3,25.4,32.1,23,25.6,27.3,28.2,20.4,31.4,35.8,30.7,35.7,39.7,31.1,36.8,39.7,41.3,43,41.4,39.3,34.3,39.6,44.9,46.2,45.3,42.3,45.2,46.6,50.4,43.8,41.9,48.5,56.1,51.8,45.8,46.3,55.2,51.2,54.1,58,53.1,55.5,59.2,53.5,55.3,60.3,55,48.6,41.5,51.4,60.8,59.7,55.2,51.2,62.5,60.6,59.2,61.1,53.9,71.1,61,65.2,72.5,69.4,65,70.8,71.1,43.1,70.4,61.3
Canary seed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canola (rapeseed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,11.3,13.4,11,7.5,16,17,5,18.5,15,16.6,14.4,11.3,17,14,12.4,16.7,14.6,15.8,15.8,17.5,16.7,15.7,16.9,15.2,18.4,16.6,17.8,17.9,17.5,16.8,16.2,17.9,20.8,24.2,22.1,17.9,21.3,23.5,22.4,20,19.8,22.4,25.7,25.6,20.4,19.8,23,24,22.7,23.9,22.4,21.8,26.2,23.4,25.1,28.2,26.5,23.7,22.2,25.8,28.1,32.7,30.7,27.1,34.7,35.3,33.3,34.3,27.9,40.2,34.9,39.2,42.3,41.3,40.6,41.9,41.8,28.4,38.8,36.9
Chick peas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn for grain,62.5,54.7,48.8,59.6,56.9,60.3,54.4,56.7,36.3,33.1,56.8,64,49.2,50.2,43.3,42.8,40.7,44.2,37.3,32.4,37.7,34.1,36.1,41.3,38.9,37,42.2,46.3,37,32.7,42.7,44.2,37.4,41.7,40.4,33.9,43.4,43.8,42.4,37.9,49.2,50.2,45.3,50.6,58.3,57.7,54.1,62.2,54.6,57.8,60.3,63.7,57.3,73,76,65.5,80.7,79.8,82.3,84.6,84.8,75.1,84,82.2,75,84.3,69.9,91.5,84.5,92,83.8,88.2,89.7,93.3,93.7,87.9,94,98.9,94.8,111.8,87.3,101.2,109.3,106.9,91.7,106.3,117.7,115.6,110.2,109.5,127.5,127,100.1,105.4,111.7,124.6,131.3,137.1,135,135.6,144.6,133.7,155.4,142.3,145.9,152.1,148.1,162.6,156.5,159.7,154.6,147.2,153.5,159.3,160.4,158.1
Flaxseed,10.8,16,7.3,11.4,12.9,11.3,6.6,13.2,12.6,6.5,5.7,5,5.6,7.7,8.9,11.3,7.6,7.4,8.1,10.3,9.6,5.4,8.7,3.8,5.9,2.6,4,5.4,3.8,3.2,6,6.9,8,6.5,10.1,6.2,7.3,7.1,7.6,7.7,9.4,7.2,8.5,8.2,10.5,10.2,9.3,10.3,11.5,5.5,8.8,8.4,9,6.9,11.1,12.6,10.3,12.6,11.7,9.2,12.9,12,14.5,12.7,13.3,13.4,9.5,12.5,13.6,17.4,17.3,14,12.7,16,19,16.5,15.3,19.3,21,19.8,11.7,13.3,20.4,20.3,21,19.8,21.3,20.5,23.6,19.6,20.1,21,18.7,17.2,17.1,16.5,15.9,21.5,20.1,19.3,21.9,23.8,19.1,21.8,21.9,28.3,22.4,24,27.6,21.1,23,22.8,24.8,13.7,24.2,18.2
Lentils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustard seed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oats,31.6,38,28.3,38,39.3,38.9,31.1,40.2,37.3,30.2,28.8,26.4,33.5,25.1,33.8,39.2,28,32,30.1,33.2,34.4,22.7,31.9,25.6,29.8,22.7,23.4,28,20.5,20.6,28.5,30.1,30.9,24.9,47.4,31.3,31.2,26.6,30.6,25.2,31.8,27.7,35.9,41.5,42.6,41.9,30.5,36.5,44.6,35.9,37.4,37.9,41.4,33.2,46.6,47.7,43.5,47.8,46.9,40.9,48,48.6,51.3,53.2,49.2,48.8,41.8,48.7,52.6,53,52,50.6,52.6,53.6,59.2,52,50.6,56.8,66.4,62.2,57.1,54.2,61.2,55.9,59.8,69.4,64,62.2,68,61,65.2,68.3,68.4,57,55.4,62.6,73.7,67.8,65.8,68,77.4,77.8,72.1,76.5,73.9,91.3,83.2,85.8,91.7,93.1,89.7,95.1,91.3,62.7,97.8,84.1
Soybeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,21,16,18.8,18.3,18.1,18.2,19.4,25.1,23.4,24.8,24,21.7,19.5,26.4,21.8,25.4,25.3,27.2,22.1,31.3,29.9,21.9,30.2,30.3,32.3,27.9,30.6,23.8,31,28,34,31,26.6,34.6,24.3,38.7,26.9,35,37,32.3,34.6,30,33.7,37.2,37.1,40.9,32.2,33.6,38.8,36.3,34.7,38.7,40.8,41.5,37.4,38.4,41.5,41.2,37.9,22.7,33.9,32.2,38.6,40.3,42.9,34.2,41.5,37.7,43.9,42.7,44.6,42.7,39.8,43,44,39.1,43.4,40.2,46.3,44.5,45.9,45.9
Sunflower seed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wheat, all",17,21.5,14.9,20.8,20.4,21,15.7,26,17.1,15.8,10.9,10.1,14.4,12.9,17.8,21.7,11.9,19,17.8,21.4,23.5,12,16.9,12.2,16.3,10.8,11.5,11.7,8.6,7,13.9,19.5,18.8,14.3,25.8,16.9,18.3,13.6,16.9,14,16.1,13.4,17.1,21.9,26.8,24,13,22.9,25.2,18.2,18,18.2,21.1,11.2,21.1,26.2,20.2,22.9,27.9,19.7,22.1,26.9,26.6,27.3,25,25.1,22.1,26.8,31.2,29.2,29.7,24.3,25.6,29.7,31.7,28.8,23.9,26.3,32.8,28.7,19,26.9,33.9,33.5,32.1,32.7,31.6,33.4,36.1,31.7,33.5,38.6,36.3,28.9,27.2,33.6,39.3,40.7,38.8,34.7,42.5,41.5,41.8,44,42.7,53.5,45.8,43,53.2,50.3,48.7,50.3,52.6,36.2,50.6,44.5
"Wheat, durum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,32,34.7,30.4,32.5,33.3,29.3,30.8,36.5,32.4,22.1,25.7,26.2,34.8,38.6,32.8,28.7,34,36,36.1,39,37.1,48.2,40.7,34.6,49.5,35.3,35,39.2,42.6,20.2,35.9,25.3
"Wheat, spring",16.3,21.3,14.1,20.8,20.4,20.8,15.2,25.9,16.9,15.6,10.7,9.6,14,12.7,17.7,21.6,11.3,18.6,17.5,21.2,23.5,11.6,16.6,11.9,16.1,10.5,11.4,11.4,8.2,6.5,13.5,19.2,18.5,14,25.6,16.7,17.9,13.2,16.6,13.7,15.7,13.1,16.7,21.8,26.8,23.8,12.5,22.5,24.9,17.7,17.5,18.1,20.9,10.9,21.1,26.1,20,22.8,27.7,19.6,22.1,26.8,25.9,27.4,24.9,25.2,21.9,26.5,30.9,28.8,29.5,23.8,25.4,29.7,31.6,28.4,24.1,27.1,32.7,28.6,18.4,27,33.8,33.2,31.3,32.1,30.8,32.4,36.6,31.6,33.4,37.7,36.1,29.3,25.7,33.2,38.6,39.9,37,34,41.7,41.2,40.4,42.8,41.4,53.1,45.5,44.2,51.7,52.9,51.6,52.3,54.1,37.7,53.2,47.5
"Wheat, winter remaining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,44.6,38.7,42,39.8,43.9,41.3,43.5,39.5,45.4,49.2,43.6,44.9,40.5,42.9,48,48.1,39.1,42.5,39.7,35.5,36.8,34.7,38,47.7,53.8,47.4,62.4,49,59.5,63.5,39.8,54.1,56.7,67.7,66.4,56.4,60.8,66.9,63,61.6,71.7,58.3,66.7,60,68.8,66.3,65.8,70,63.3,64.6,79.1,75.9,75.2,67.9,75.3,81,87,83.9